,nome,preco,data,estado,quantidade
0,ventilador microprocessado,169800,21/03/2020,RJ,400
1,ventilador microprocessado,198000,01/04/2020,RJ,300
2,ventilador mecanico,187560,01/04/2020,RJ,300
